"","Brewery_id","Brewery_Name","City","State","Beer_Name","Beer_ID","ABV","IBU","Style","Ounces"
"1",1,"NorthGate Brewing ","Minneapolis"," MN","Pumpion",2689,0.06,38,"Pumpkin Ale",16
"2",1,"NorthGate Brewing ","Minneapolis"," MN","Stronghold",2688,0.06,25,"American Porter",16
"3",1,"NorthGate Brewing ","Minneapolis"," MN","Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16
"4",1,"NorthGate Brewing ","Minneapolis"," MN","Get Together",2692,0.045,50,"American IPA",16
"5",1,"NorthGate Brewing ","Minneapolis"," MN","Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16
"6",1,"NorthGate Brewing ","Minneapolis"," MN","Wall's End",2690,0.048,19,"English Brown Ale",16
"7",2,"Against the Grain Brewery","Louisville"," KY","A Beer",2683,0.042,42,"American Pale Ale (APA)",16
"8",2,"Against the Grain Brewery","Louisville"," KY","Citra Ass Down",2686,0.08,68,"American Double / Imperial IPA",16
"9",2,"Against the Grain Brewery","Louisville"," KY","London Balling",2685,0.125,80,"English Barleywine",16
"10",2,"Against the Grain Brewery","Louisville"," KY","35 K",2684,0.077,25,"Milk / Sweet Stout",16
"11",2,"Against the Grain Brewery","Louisville"," KY","Bloody Show",2679,0.055,17,"American Pilsner",16
"12",2,"Against the Grain Brewery","Louisville"," KY","Rules are Rules",2682,0.05,25,"German Pilsener",16
"13",2,"Against the Grain Brewery","Louisville"," KY","Flesh Gourd'n",2681,0.066,21,"Pumpkin Ale",16
"14",2,"Against the Grain Brewery","Louisville"," KY","Sho'nuff",2680,0.04,13,"Belgian Pale Ale",16
"15",2,"Against the Grain Brewery","Louisville"," KY","Pile of Face",2675,0.06,65,"American IPA",16
"16",2,"Against the Grain Brewery","Louisville"," KY","The Brown Note",2674,0.05,20,"English Brown Ale",16
"17",2,"Against the Grain Brewery","Louisville"," KY","Rico Sauvin",2678,0.076,68,"American Double / Imperial IPA",16
"18",2,"Against the Grain Brewery","Louisville"," KY","Coq de la Marche",2677,0.051,38,"Saison / Farmhouse Ale",16
"20",3,"Jack's Abby Craft Lagers","Framingham"," MA","Excess IPL",2671,0.072,80,"American India Pale Lager",16
"21",3,"Jack's Abby Craft Lagers","Framingham"," MA","Leisure Time",2672,0.048,15,"American Pale Lager",12
"22",3,"Jack's Abby Craft Lagers","Framingham"," MA","Hoponius Union",2670,0.067,65,"American India Pale Lager",12
"23",3,"Jack's Abby Craft Lagers","Framingham"," MA","Calyptra",2669,0.049,45,"American India Pale Lager",12
"24",3,"Jack's Abby Craft Lagers","Framingham"," MA","House Lager",2673,0.052,18,"Keller Bier / Zwickel Bier",16
"25",4,"Mike Hess Brewing Company","San Diego"," CA","Jucundus",2666,0.06,24,"Wheat Ale",16
"26",4,"Mike Hess Brewing Company","San Diego"," CA","Solis",2667,0.075,85,"American IPA",16
"27",4,"Mike Hess Brewing Company","San Diego"," CA","Habitus",2664,0.08,100,"American Double / Imperial IPA",16
"28",4,"Mike Hess Brewing Company","San Diego"," CA","Claritas",2662,0.058,28,"Kölsch",16
"29",4,"Mike Hess Brewing Company","San Diego"," CA","Habitus (2014)",2668,0.08,100,"American Double / Imperial IPA",16
"30",4,"Mike Hess Brewing Company","San Diego"," CA","Grazias",2663,0.063,30,"Cream Ale",16
"31",5,"Fort Point Beer Company","San Francisco"," CA","Villager",2658,0.063,42,"American IPA",12
"32",5,"Fort Point Beer Company","San Francisco"," CA","Westfalia",2660,0.056,16,"American Amber / Red Ale",12
"33",5,"Fort Point Beer Company","San Francisco"," CA","KSA",2659,0.046,17,"Kölsch",12
"34",5,"Fort Point Beer Company","San Francisco"," CA","Park",2661,0.047,19,"American Pale Wheat Ale",12
"44",7,"Great Divide Brewing Company","Denver"," CO","Yeti  Imperial Stout",2644,0.095,75,"Russian Imperial Stout",12
"52",8,"Tapistry Brewing","Bridgman"," MI","Peck's Porter",2640,0.065,35,"American Porter",16
"54",9,"Big Lake Brewing","Holland"," MI","Dark Star",2639,0.08,54,"American Stout",16
"118",12,"Petoskey Brewing","Petoskey"," MI","Horny Monk",1403,0.069,20,"Dubbel",16
"119",12,"Petoskey Brewing","Petoskey"," MI","Mind's Eye PA",1402,0.067,74,"American IPA",16
"120",12,"Petoskey Brewing","Petoskey"," MI","North 45 Amber Ale",1404,0.059,25,"American Amber / Red Ale",16
"121",12,"Petoskey Brewing","Petoskey"," MI","Sparkle",2635,0.041,12,"American Pale Lager",16
"123",13,"Blackrocks Brewery","Marquette"," MI","North Third Stout",2153,0.06,30,"Foreign / Export Stout",12
"125",13,"Blackrocks Brewery","Marquette"," MI","Nordskye ",2634,0.048,47,"American IPA",12
"126",13,"Blackrocks Brewery","Marquette"," MI","51K IPA",1481,0.07,51,"American IPA",12
"129",14,"Perrin Brewing Company","Comstock Park"," MI","98 Problems (Cuz A Hop Ain't One)",2630,0.065,65,"American IPA",12
"130",14,"Perrin Brewing Company","Comstock Park"," MI","Hotbox Brown",2633,0.055,10,"American Brown Ale",12
"131",14,"Perrin Brewing Company","Comstock Park"," MI","Grapefruit IPA",2628,0.05,35,"American IPA",12
"132",14,"Perrin Brewing Company","Comstock Park"," MI","Gold",2632,0.048,15,"American Blonde Ale",12
"133",14,"Perrin Brewing Company","Comstock Park"," MI","Veteran’s Pale Ale (VPA)",2629,0.05,40,"American Pale Ale (APA)",12
"135",15,"Witch's Hat Brewing Company","South Lyon"," MI","Train Hopper",2627,0.058,72,"American IPA",12
"136",16,"Founders Brewing Company","Grand Rapids"," MI","Dirty Bastard",2625,0.085,50,"Scotch Ale / Wee Heavy",12
"137",16,"Founders Brewing Company","Grand Rapids"," MI","Centennial IPA",1565,0.072,65,"American IPA",12
"138",16,"Founders Brewing Company","Grand Rapids"," MI","All Day IPA",1223,0.047,42,"American IPA",12
"140",17,"Flat 12 Bierwerks","Indianapolis"," IN","Hinchtown Hammer Down",2284,0.05,27,"American Blonde Ale",16
"141",17,"Flat 12 Bierwerks","Indianapolis"," IN","Half Cycle IPA",1610,0.06,104,"American IPA",16
"143",18,"Tin Man Brewing Company","Evansville"," IN","Rivet Irish Red Ale",950,0.051,22,"Irish Red Ale",16
"144",18,"Tin Man Brewing Company","Evansville"," IN","Circuit Bohemian Pilsner",948,0.045,35,"Czech Pilsener",16
"145",18,"Tin Man Brewing Company","Evansville"," IN","3 Gear Robust Porter",949,0.052,50,"American Porter",16
"146",18,"Tin Man Brewing Company","Evansville"," IN","Overlord Imperial IPA",1449,0.085,115,"American Double / Imperial IPA",16
"147",18,"Tin Man Brewing Company","Evansville"," IN","Alloy",951,0.058,36,"American IPA",16
"148",18,"Tin Man Brewing Company","Evansville"," IN","Cafe Leche",2623,0.058,20,"American Porter",16
"149",18,"Tin Man Brewing Company","Evansville"," IN","Csar",2621,0.12,90,"Russian Imperial Stout",16
"150",18,"Tin Man Brewing Company","Evansville"," IN","Damascene Apricot Sour",2622,0.052,12,"Fruit / Vegetable Beer",16
